,Unnamed: 0,Unnamed: 0.1.1,mvrv_z_score,mvrv_momentum,nvt_smooth,nvt_dynamic,hashRate_change,log_return,drawdown_micro,rsi_7,rsi_14,rsi_slop,state
1869,1869,1869,-0.1131049472242587,0.1045097626951528,23.737814408658902,0.1138491279991278,-3.8606934082942015,0.0183726482787146,0.0,50.14310362729287,58.81273823500959,-21.620386858069047,0.0
1870,1870,1870,-0.1345772649976516,0.0569100042479717,23.57142225241008,-0.0994373440346851,2.696510448482181,-0.0453562122215669,-0.0443429955090208,51.94176106727056,59.58180623539292,1.7986574399776956,1.0
1871,1871,1871,-0.1560495827710444,0.0093102458007906,23.40503009616125,-0.3127238160684982,1.3575898118546317,-0.0122400946447849,-0.0559690306560645,42.28255559603084,53.71876812023867,-9.659205471239725,0.0
1872,1872,1872,-0.1775219005444373,-0.0382895126463904,23.238637939912422,-0.5260102881023112,18.23753999739093,-0.0121860645745097,-0.0674032424887677,58.81129769934081,61.30372428319836,16.528742103309973,0.0
1873,1873,1873,-0.1989942183178302,-0.0858892710935715,23.0722457836636,-0.7392967601361242,0.2357563472152657,0.0330202567438837,-0.0360945929923761,42.73866158215287,51.14336934767376,-16.07263611718794,0.0
1874,1874,1874,-0.2177658194675032,-0.0831885544698516,22.863084643396085,-0.9658939583098328,-6.255670507469757,0.0207714437610257,-0.0158634989150897,42.08149805665264,50.70014356852985,-0.6571635255002306,0.0
1875,1875,1875,-0.2365374206171762,-0.0804878378461317,22.653923503128567,-1.1924911564835412,-1.5050705689053645,-0.0682902757073473,-0.080827018747596,45.160457151563065,52.099321025290855,3.078959094910424,2.0
1876,1876,1876,-0.2553090217668492,-0.0777871212224118,22.44476236286105,-1.4190883546572497,10.626111429868049,0.0186687312030206,-0.0635060482180192,44.34004777212047,51.6285574092786,-0.8204093794425944,0.0
1877,1877,1877,-0.2740806229165222,-0.0750864045986919,22.23560122259353,-1.6456855528309582,-2.5046314290449456,-0.0035243617261207,-0.0668007823306629,55.04505797394925,56.39587072257558,10.705010201828776,0.0
1878,1878,1878,-0.3211312472095801,-0.0971082273588525,22.020570450481504,-1.8435466642141087,-3.7019608137762505,0.0217882891707929,-0.0462448417361263,44.55100808374468,50.74216879851549,-10.494049890204572,0.0
1879,1879,1879,-0.3681818715026379,-0.119130050119013,21.80553967836948,-2.0414077755972606,-5.624481870636089,-0.0338364524006578,-0.0779766592475705,35.63828367501999,45.24924314435273,-8.912724408724685,0.0
1880,1880,1880,-0.4152324957956958,-0.1411518728791736,21.590508906257448,-2.239268886980412,-5.041671389832048,-0.0203057862089901,-0.0965102615833808,25.559144894097145,37.80320333131653,-10.079138780922849,0.0
1881,1881,1881,-0.4441002010454514,-0.1347316099091358,21.718904662482075,-2.113411732375625,13.685234349674658,-0.0617567801786482,-0.1506188952712178,24.98916534411093,37.34570088398721,-0.5699795499862148,1.0
1882,1882,1882,-0.4729679062952071,-0.1283113469390981,21.847300418706705,-1.9875545777708383,-0.7438458937077841,0.0082267782477491,-0.1436024032858659,23.118704208571444,35.89104244157275,-1.870461135539486,0.0
1883,1883,1883,-0.5018356115449627,-0.1218910839690603,21.97569617493133,-1.861697423166052,2.8635311447407163,-0.0387002945434978,-0.176112117353455,21.87497718317508,34.93687863944116,-1.243727025396364,0.0
1884,1884,1884,-0.5307033167947184,-0.1154708209990225,22.10409193115596,-1.7358402685612653,15.381560667750891,0.0134851679905042,-0.1649266010740177,21.19910308138361,34.436066290411446,-0.6758741017914716,0.0
1885,1885,1885,-0.5169292276277574,-0.0632064581657206,21.81007987333657,-1.975748736814276,10.818135922777117,-0.0278653934159155,-0.1878750314484202,39.33064668678608,41.87542998711517,18.13154360540248,0.0
1886,1886,1886,-0.5031551384607963,-0.0109420953324188,21.51606781551718,-2.2156572050672865,3.4261896866172536,0.0513095552092316,-0.1451177110755311,36.704471252147066,40.55459107958642,-2.6261754346390163,0.0
1887,1887,1887,-0.4893810492938353,0.041322267500883,21.22205575769779,-2.4555656733202973,16.88662330673012,-0.0182459716957428,-0.1605744288918685,35.60232818092983,40.01444381568152,-1.1021430712172346,0.0
1888,1888,1888,-0.4802703566753056,0.0401023932441919,21.45610136195272,-2.1994847930425863,18.625657331951693,0.0022035094139794,-0.1587227073499174,52.23761516844712,47.50106460322997,16.63528698751729,0.0
1889,1889,1889,-0.471159664056776,0.0388825189875008,21.69014696620764,-1.9434039127648752,-2.1029484378275787,0.0449376633400944,-0.1200553684983704,54.10934074950962,48.43896435233516,1.871725581062499,0.0
1890,1890,1890,-0.4620489714382463,0.0376626447308097,21.92419257046257,-1.6873230324871642,5.9165442328922735,-0.0050143804214356,-0.124456701429421,44.27953408808892,44.30050882801643,-9.829806661420696,0.0
1891,1891,1891,-0.4529382788197167,0.0364427704741185,22.158238174717493,-1.4312421522094532,1.8289123161299603,-0.0238221889207281,-0.1450675863903767,24.60805826398952,32.8875212942845,-19.671475824099403,0.0
1892,1892,1892,-0.5181804382937422,-0.0379100816184365,21.85222458317972,-1.6786741232991425,-5.803279793634197,-0.0671560902000022,-0.200596098178835,21.98638995208384,30.91429118824621,-2.62166831190568,2.0
1893,1893,1893,-0.5834225977677676,-0.1122629337109916,21.54621099164194,-1.926106094388832,-1.1451184263977845,-0.05584054243086,-0.2440117870125012,21.78216772367564,30.76434560406912,-0.2042222284081987,2.0
1894,1894,1894,-0.6486647572417932,-0.1866157858035468,21.24019740010416,-2.173538065478521,-13.250498213272532,0.0130477059475284,-0.2340832436069337,21.8856261880009,30.80851799442442,0.1034584643252571,2.0
1895,1895,1895,-0.7139069167158186,-0.2609686378961019,20.934183808566384,-2.4209700365682103,-17.754839621850838,-0.0124396834740304,-0.2435519894198356,5.9662401418161295,14.080536677263083,-15.91938604618477,2.0
1896,1896,1896,-0.8632576436743996,-0.3450772053806574,20.940523377442428,-2.359043522438493,-5.588004635807698,-0.262926130550635,-0.4184437634770336,19.70522299442233,23.14202446397543,13.7389828526062,2.0
1897,1897,1897,-1.0126083706329807,-0.429185772865213,20.946862946318475,-2.297117008308776,-10.016726535274245,-0.1067161736912187,-0.4773084586370134,17.84155270476805,21.63614119244476,-1.86367028965428,2.0
1898,1898,1898,-1.1619590975915617,-0.5132943403497685,20.95320251519452,-2.235190494179059,-23.3059642069251,-0.0047619225630028,-0.4797915584246582,22.366905735779326,24.43366663366659,4.525353031011278,2.0
1899,1899,1899,-1.3113098245501429,-0.597402907834324,20.959542084070563,-2.1732639800493416,-13.65649608252052,-0.0136885827309474,-0.4785926131978263,19.85535690033,22.71470231513697,-2.5115488354493287,2.0
1900,1900,1900,-1.2474371817209338,-0.4140496834382503,20.674627965991075,-2.374051727825093,-19.353700891741333,-0.0594322380519535,-0.5086781408797244,25.32249507680013,25.85404070842145,5.467138176470137,2.0
1901,1901,1901,-1.1835645388917249,-0.2306964590421765,20.389713847911587,-2.5748394756008453,-7.997938000609261,0.0661012385515111,-0.4751037263114179,25.68130014388437,26.05028208233076,0.3588050670842371,2.0
1902,1902,1902,-1.119691896062516,-0.0473432346461027,20.10479972983209,-2.775627223376597,-19.797723560969548,-0.0020547466255751,-0.476181147865334,47.55003699618195,38.98574654073241,21.86873685229758,2.0
1903,1903,1903,-1.0558192532333068,0.1360099897499709,19.819885611752607,-2.976414971152349,-21.04029012169165,0.1538145806636209,-0.3890833689208937,47.69300291030985,39.07711808400504,0.1429659141278989,2.0
1904,1904,1904,-0.991946610404098,0.3193632141460446,19.53497149367312,-3.1772027189281005,-12.365468347261643,-0.0121137547284515,-0.3772131250265301,47.42040897330095,38.96352826529185,-0.2725939370088994,2.0
1905,1905,1905,-0.9755779425178892,0.2718592392030445,19.58477711683796,-3.046495662628224,10.050079139597813,0.0101429786995988,-0.3708640662679217,40.44221712322582,36.043866329328495,-6.978191850075135,2.0
1906,1906,1906,-0.9592092746316804,0.2243552642600444,19.6345827400028,-2.915788606328347,-7.396211857460067,-0.0571706040267065,-0.4058233057553883,53.60009612957882,43.56604844490961,13.157879006353006,2.0
1907,1907,1907,-0.9428406067454714,0.1768512893170444,19.68438836316764,-2.7850815500284702,9.955709066300432,0.0681432747276856,-0.3639227521077621,59.30084083710797,47.2004158389264,5.700744707529147,1.0
1908,1908,1908,-0.9264719388592626,0.1293473143740443,19.73419398633248,-2.654374493728594,-4.622165931360822,0.0658957275890519,-0.2972141692951212,57.90043941683109,46.654437529941546,-1.4004014202768786,1.0
1909,1909,1909,-0.9101032709730538,0.0818433394310442,19.78399960949732,-2.523667437428717,13.559555702329028,-0.0144683374925538,-0.2930996957191569,58.65039029532392,47.08833646702605,0.7499508784928324,0.0
1910,1910,1910,-0.9512753272139288,0.0133901700464879,19.939039611462025,-2.248998184439239,29.72210471659069,0.0091300275664516,-0.2675277642063567,51.227904122800425,44.37823376789801,-7.422486172523499,0.0
1911,1911,1911,-0.9924473834548037,-0.0550629993380684,20.094079613426736,-1.9743289314497603,3.014315567258663,-0.0035192391984591,-0.2701009786759502,45.085034176908096,41.97727363066508,-6.142869945892329,0.0
1912,1912,1912,-1.0336194396956786,-0.1235161687226248,20.249119615391443,-1.6996596784602822,-7.963796602091556,-0.0638459799700074,-0.3152456110754481,37.671884944769005,38.79762838771442,-7.413149232139091,2.0
1913,1913,1913,-1.0142960164225272,-0.0733137032688171,20.36843739313063,-1.5015173284841756,12.242620754842635,-0.054715161123445,-0.3517055077086888,52.21213186095429,45.809147207799874,14.540246916185282,1.0
1914,1914,1914,-0.9949725931493756,-0.0231112378150094,20.48775517086981,-1.303374978508069,2.5050621141958107,0.0746028236748817,-0.3014911279421076,52.43653758187901,45.92479905196024,0.2244057209247216,1.0
1915,1915,1915,-0.975649169876224,0.0270912276387983,20.60707294860901,-1.1052326285319625,13.120280580000587,0.0165008927087437,-0.2898694879642795,56.94209313037319,48.198763967206176,4.505555548494179,0.0
1916,1916,1916,-0.9563257466030726,0.077293693092606,20.7263907263482,-0.907090278555856,6.475783797562085,-0.0440197161013472,-0.320451194370258,61.6519122050804,50.68089292482592,4.709819074707212,1.0
1917,1917,1917,-0.925324630494536,0.0825302448369404,20.922805335607173,-0.633429574243549,-11.477298668485458,0.0869282198055097,-0.2587356742391545,59.215718343005314,49.85156847008248,-2.4361938620750863,1.0
1918,1918,1918,-0.8943235143859997,0.0877667965812749,21.11921994486615,-0.3597688699312419,-0.6919837370623405,0.0040336759249259,-0.2557396156719606,63.01285402915989,51.74521322958388,3.797135686154576,0.0
1919,1919,1919,-0.8633223982774632,0.0930033483256094,21.31563455412513,-0.0861081656189348,17.93467012000789,-0.0050080300858334,-0.2557348893537378,59.34177626304052,50.5738942263116,-3.671077766119368,0.0
1920,1920,1920,-0.8298590418074135,0.1032158677142566,21.400234690869706,0.0357023159034204,3.9186449315318006,0.0071091167629065,-0.2323540620440672,71.5203178763125,57.14633373989801,12.178541613271982,0.0
1921,1921,1921,-0.7963956853373639,0.1134283871029038,21.48483482761429,0.1575127974257757,2.0944007019279454,0.0681352282095546,-0.121144997298966,66.88291334081231,55.56748064915391,-4.637404535500195,1.0
1922,1922,1922,-0.7629323288673144,0.1236409064915511,21.56943496435887,0.279323278948131,-0.5817699321167602,0.0003196327953995,-0.0824267656046274,70.56464941301424,57.65088457836201,3.6817360722019288,0.0
1923,1923,1923,-0.7294689723972648,0.1338534258801983,21.65403510110345,0.4011337604704863,1.1975803420440467,0.0050975496905262,-0.0777374485886742,68.75441046568113,57.06592999648121,-1.8102389473331044,0.0
1924,1924,1924,-0.7517115585657848,0.0781474832416288,21.91681915132467,0.6704727121501959,19.1509614602972,-0.0100999045411426,-0.0755770316368673,48.82345628828144,49.66397565866308,-19.93095417739969,0.0
1925,1925,1925,-0.7739541447343047,0.0224415406030593,22.17960320154589,0.9398116638299054,17.375491290168465,-0.0493131560006603,-0.057682545400953,48.58222127529062,49.562328663365705,-0.2412350129908205,1.0
1926,1926,1926,-0.7961967309028246,-0.0332644020355102,22.442387251767112,1.209150615509615,3.204832135948932,-0.0156636320190388,-0.0723276619669106,53.287400293831055,51.43285498500883,4.705179018540434,0.0
1927,1927,1927,-0.8184393170713445,-0.0889703446740797,22.705171301988333,1.4784895671893246,7.683238509890078,0.049330651689996,-0.0254174376777419,47.57176968580093,49.22054922256309,-5.715630608030125,0.0
1928,1928,1928,-0.8367468613086777,-0.0776211073533863,22.58014488699467,1.3512133704239029,19.805174254047685,-0.0480458089799561,-0.0711349828876479,47.44883553987693,49.17338855996479,-0.1229341459239989,1.0
1929,1929,1929,-0.855054405546011,-0.0662718700326929,22.455118472001008,1.2239371736584808,13.017058848402518,0.0185162847249923,-0.0537756344124758,38.53228970782999,45.56470725664188,-8.916545832046943,0.0
1930,1930,1930,-0.8733619497833441,-0.0549226327119996,22.330092057007345,1.0966609768930589,9.82365648291974,-0.0301887841535561,-0.081914127106293,59.54825975960154,54.15135980272443,21.01597005177156,0.0
1931,1931,1931,-0.8443781429001119,-0.0122081676507674,22.5417840354137,1.280025257721281,-13.753542721878764,0.0402362500741683,-0.044220555564653,58.534057389753535,53.75470629359469,-1.0142023698480074,0.0
1932,1932,1932,-0.8153943360168797,0.0305062974104646,22.75347601382005,1.463389538549503,-9.03409098107394,0.0102923828599831,-0.0343325091020245,64.11774618999236,56.445373971238,5.583688800238825,0.0
1933,1933,1933,-0.7864105291336475,0.0732207624716967,22.9651679922264,1.6467538193777251,-5.4792208624038885,0.0193815066559389,-0.0154338677190627,60.12603144969388,54.98932462373026,-3.9917147402984767,0.0
1934,1934,1934,-0.7574267222504153,0.1159352275329288,23.17685997063275,1.8301181002059472,0.3421269945432348,-0.0112817892462401,-0.0264791131052778,45.30107119073515,48.872149793483935,-14.824960258958733,0.0
1935,1935,1935,-0.7556371314607127,0.0790797424783219,23.0086585508059,1.6483889713315658,-11.82759547732405,-0.0498851705348964,-0.0738519440396067,45.23187056493349,48.841030502401736,-0.0692006258016633,1.0
1936,1936,1936,-0.7538475406710099,0.0422242574237149,22.84045713097905,1.4666598424571842,1.850686998712492,0.0146297838391425,-0.0602030010753216,56.4698764938537,53.46372864779728,11.23800592892021,0.0
1937,1937,1937,-0.7520579498813073,0.005368772369108,22.6722557111522,1.2849307135828028,-12.215064785012965,0.0296495716708266,-0.0319212231374282,66.91798410637487,58.7583185538291,10.448107612521175,0.0
1938,1938,1938,-0.7201605835609413,0.035923945597197,22.86179396713824,1.4350340949724334,14.077960314110303,0.0610089590988475,0.0,70.15812869191255,60.62877732275839,3.240144585537678,1.0
1939,1939,1939,-0.6882632172405752,0.066479118825286,23.051332223124263,1.585137476362064,-3.1935088463792893,-0.0007230346542439,-0.0007227733276749,70.6843371119794,60.92855191928176,0.5262084200668511,0.0
1940,1940,1940,-0.6563658509202092,0.097034292053375,23.2408704791103,1.735240857751695,1.2142592663639151,0.0016721358630851,0.0,73.79739593337631,62.695120851765495,3.113058821396905,0.0
1941,1941,1941,-0.6244684845998432,0.1275894652814641,23.43040873509633,1.885344239141325,-4.006949933842707,0.0154636631945354,0.0,76.82065466553061,64.51419411066192,3.023258732154304,0.0
1942,1942,1942,-0.5607433752234973,0.159417208337444,23.122127050094143,1.576365343061103,5.327761227105432,0.0059936029334875,0.0,77.12548600535322,64.6977219934812,0.3048313398226128,0.0
1943,1943,1943,-0.4970182658471513,0.1912449513934238,22.813845365091964,1.2673864469808809,-3.1993598939885737,0.0013943894937964,0.0,90.18700409697246,76.19842809227882,13.061518091619234,1.0
1944,1944,1944,-0.4332931564708054,0.2230726944494037,22.50556368008978,0.9584075509006588,-1.2106458049648272,0.1242746082655036,0.0,82.32538234865527,72.5497768232168,-7.861621748317191,1.0
1945,1945,1945,-0.3695680470944595,0.2549004375053836,22.1972819950876,0.6494286548204364,-3.76722804377132,0.0094260910066192,0.0,84.59305369207247,74.45614196558452,2.2676713434172058,1.0
1946,1946,1946,-0.3726955496323382,0.188047825591159,22.34001838231535,0.7594142610583301,18.007181569814822,-0.0094329529960014,-0.0093886022572523,85.86369539293699,75.55404076670573,1.270641700864516,1.0
1947,1947,1947,-0.3758230521702168,0.1211952136769345,22.482754769543103,0.8693998672962238,17.052066813472777,0.0138721068438155,0.0,80.18593719476999,73.06520373126793,-5.677758198166998,1.0
1948,1948,1948,-0.3789505547080954,0.0543426017627099,22.625491156770856,0.9793854735341174,12.604664144533515,0.0014944956661928,0.0,80.4374262184727,73.22349475110286,0.2514890237027032,1.0
1949,1949,1949,-0.3820780572459741,-0.0125100101515146,22.768227543998613,1.089371079772011,1.0036905475953262,-0.0019920291626597,-0.0019900463893666,82.02245650130645,74.19586464386272,1.585030282833756,1.0
1950,1950,1950,-0.2974889831647372,0.0762490673135605,22.620740406116656,0.9093547979309556,11.030864579793342,0.0078470125039793,0.0,85.93056884632365,76.85561061765537,3.9081123450172015,1.0
1951,1951,1951,-0.2128999090835002,0.1650081447786357,22.4732532682347,0.7293385160899,11.559046821175787,0.034991202282165,0.0,91.48203644029272,81.99229102416275,5.551467593969065,1.0
1952,1952,1952,-0.1283108350022632,0.2537672222437109,22.325766130352743,0.5493222342488444,4.245640322306121,0.0662069701563524,0.0,85.22702786002172,78.9825764946224,-6.255008580270996,1.0
